PHP Load Test Started
Concurrent Users: 100
Total Requests: 5000

Round 1 | User #1 | HTTP: 200 | Time: 117.67ms
Round 1 | User #2 | HTTP: 200 | Time: 117.86ms
Round 1 | User #3 | HTTP: 200 | Time: 118.05ms
Round 1 | User #4 | HTTP: 200 | Time: 118.22ms
Round 1 | User #5 | HTTP: 200 | Time: 118.4ms
Round 1 | User #6 | HTTP: 200 | Time: 118.6ms
Round 1 | User #7 | HTTP: 200 | Time: 118.8ms
Round 1 | User #8 | HTTP: 200 | Time: 118.95ms
Round 1 | User #9 | HTTP: 200 | Time: 119.11ms
Round 1 | User #10 | HTTP: 200 | Time: 119.26ms
Round 1 | User #11 | HTTP: 200 | Time: 119.47ms
Round 1 | User #12 | HTTP: 200 | Time: 119.63ms
Round 1 | User #13 | HTTP: 200 | Time: 119.78ms
Round 1 | User #14 | HTTP: 200 | Time: 119.92ms
Round 1 | User #15 | HTTP: 200 | Time: 120.2ms
Round 1 | User #16 | HTTP: 200 | Time: 120.35ms
Round 1 | User #17 | HTTP: 200 | Time: 120.46ms
Round 1 | User #18 | HTTP: 200 | Time: 120.6ms
Round 1 | User #19 | HTTP: 200 | Time: 120.74ms
Round 1 | User #20 | HTTP: 200 | Time: 120.87ms
Round 1 | User #21 | HTTP: 200 | Time: 121.04ms
Round 1 | User #22 | HTTP: 200 | Time: 121.2ms
Round 1 | User #23 | HTTP: 200 | Time: 121.35ms
Round 1 | User #24 | HTTP: 200 | Time: 121.53ms
Round 1 | User #25 | HTTP: 200 | Time: 121.68ms
Round 1 | User #26 | HTTP: 200 | Time: 121.82ms
Round 1 | User #27 | HTTP: 200 | Time: 121.96ms
Round 1 | User #28 | HTTP: 200 | Time: 122.08ms
Round 1 | User #29 | HTTP: 200 | Time: 122.22ms
Round 1 | User #30 | HTTP: 200 | Time: 122.34ms
Round 1 | User #31 | HTTP: 200 | Time: 122.48ms
Round 1 | User #32 | HTTP: 200 | Time: 122.63ms
Round 1 | User #33 | HTTP: 200 | Time: 122.76ms
Round 1 | User #34 | HTTP: 200 | Time: 122.9ms
Round 1 | User #35 | HTTP: 200 | Time: 123.04ms
Round 1 | User #36 | HTTP: 200 | Time: 123.23ms
Round 1 | User #37 | HTTP: 200 | Time: 123.49ms
Round 1 | User #38 | HTTP: 200 | Time: 123.71ms
Round 1 | User #39 | HTTP: 200 | Time: 123.9ms
Round 1 | User #40 | HTTP: 200 | Time: 124.1ms
Round 1 | User #41 | HTTP: 200 | Time: 124.25ms
Round 1 | User #42 | HTTP: 200 | Time: 124.39ms
Round 1 | User #43 | HTTP: 200 | Time: 124.56ms
Round 1 | User #44 | HTTP: 200 | Time: 124.68ms
Round 1 | User #45 | HTTP: 200 | Time: 124.82ms
Round 1 | User #46 | HTTP: 200 | Time: 124.99ms
Round 1 | User #47 | HTTP: 200 | Time: 125.18ms
Round 1 | User #48 | HTTP: 200 | Time: 125.39ms
Round 1 | User #49 | HTTP: 200 | Time: 125.57ms
Round 1 | User #50 | HTTP: 200 | Time: 125.77ms
Round 1 | User #51 | HTTP: 200 | Time: 125.93ms
Round 1 | User #52 | HTTP: 200 | Time: 126.07ms
Round 1 | User #53 | HTTP: 200 | Time: 126.29ms
Round 1 | User #54 | HTTP: 200 | Time: 126.43ms
Round 1 | User #55 | HTTP: 200 | Time: 126.56ms
Round 1 | User #56 | HTTP: 200 | Time: 126.7ms
Round 1 | User #57 | HTTP: 200 | Time: 126.84ms
Round 1 | User #58 | HTTP: 200 | Time: 126.98ms
Round 1 | User #59 | HTTP: 200 | Time: 127.15ms
Round 1 | User #60 | HTTP: 200 | Time: 127.29ms
Round 1 | User #61 | HTTP: 200 | Time: 127.88ms
Round 1 | User #62 | HTTP: 200 | Time: 128.03ms
Round 1 | User #63 | HTTP: 200 | Time: 128.17ms
Round 1 | User #64 | HTTP: 200 | Time: 128.3ms
Round 1 | User #65 | HTTP: 200 | Time: 128.44ms
Round 1 | User #66 | HTTP: 200 | Time: 128.58ms
Round 1 | User #67 | HTTP: 200 | Time: 128.72ms
